,word,count
1479,seat,19
1480,failed,19
1481,cislunar,19
1482,looms,19
1483,size,19
1484,readies,19
1485,requests,19
1486,connect,19
1487,produce,19
1488,40,19
1489,edge,19
1490,warn,19
1491,manage,19
1492,altitude,19
1493,advanced,19
1494,guiana,19
1495,gravity,19
1496,perfect,19
1497,rogozin,19
1498,1b,19
1499,extra,19
1500,jobs,19
1501,savings,19
1502,hints,19
1503,behind,19
1504,talk,19
1505,laboratory,19
1506,leave,19
1507,protests,19
1508,urthecast,19
1509,urge,19
1510,prospects,19
1511,2b,19
1512,bad,19
1513,prompts,19
1514,wfirst,19
1515,delivered,19
1516,tough,19
1517,cites,19
1518,leaving,19
1519,h,19
1520,microsoft,18
1521,maker,18
1522,getting,18
1523,workforce,18
1524,works,18
1525,ast,18
1526,clearing,18
1527,propellant,18
1528,pilot,18
1529,rogers,18
1530,due,18
1531,links,18
1532,26,18
1533,training,18
1534,outlook,18
1535,medium,18
1536,effects,18
1537,guard,18
1538,construction,18
1539,equity,18
1540,weighing,18
1541,update,18
1542,28,18
1543,wake,18
1544,satellogic,18
1545,silicon,18
1546,historic,18
1547,jpl,18
1548,tap,18
1549,stepping,18
1550,scale,18
1551,drive,18
1552,you,18
1553,jam,18
1554,maiden,18
1555,class,18
1556,swarm,18
1557,rise,18
1558,avoid,18
1559,engineering,18
1560,even,18
1561,does,18
1562,minotaur,18
1563,eagle,18
1564,hts,18
1565,loan,18
1566,pence,18
1567,pledges,18
1568,houston,18
1569,seven,17
1570,ambitions,17
1571,grows,17
1572,zero,17
1573,becomes,17
1574,bae,17
1575,ku,17
1576,lines,17
1577,towards,17
1578,quarter,17
1579,deploy,17
1580,astronomers,17
1581,refueling,17
1582,ksc,17
1583,being,17
1584,broadcast,17
1585,segment,17
1586,mystery,17
1587,link,17
1588,super,17
1589,west,17
1590,trying,17
1591,supports,17
1592,later,17
1593,keeping,17
1594,flies,17
1595,camera,17
1596,loses,17
1597,expect,17
1598,smaller,17
1599,executives,17
1600,enter,17
1601,underway,17
1602,balloon,17
1603,millennium,17
1604,damaged,17
1605,mike,17
1606,policies,17
1607,tv,17
1608,wallops,17
1609,spot,17
1610,keeps,17
1611,landings,17
1612,explosion,17
1613,200,17
1614,common,17
1615,product,17
1616,faster,17
1617,industrial,17
1618,megaconstellations,17
1619,pace,17
1620,biggest,17
1621,entry,17
1622,landers,17
1623,david,17
1624,patent,17
1625,accident,17
1626,federal,17
1627,facing,17
1628,together,17
1629,different,17
1630,hard,17
1631,clipper,17
1632,budgets,17
1633,posts,17
1634,worth,17
1635,relief,17
1636,hand,17
1637,epic,17
1638,best,17
1639,intel,17
1640,2a,17
1641,cst,17
1642,sbss,17
1643,newsat,17
1644,journey,16
1645,mishap,16
1646,promise,16
1647,foreign,16
1648,protect,16
1649,lifts,16
1650,terrestrial,16
1651,largest,16
1652,printing,16
1653,headquarters,16
1654,completion,16
1655,losses,16
1656,well,16
1657,euros,16
1658,nominates,16
1659,eight,16
1660,explore,16
1661,attention,16
1662,forge,16
1663,restrictions,16
1664,multiple,16
1665,crash,16
1666,probes,16
1667,manufacturers,16
1668,running,16
1669,propose,16
1670,reality,16
1671,tapped,16
1672,try,16
1673,liftoff,16
1674,double,16
1675,emerging,16
1676,mining,16
1677,might,16
1678,iran,16
1679,clear,16
1680,requires,16
1681,speedcast,16
1682,standards,16
1683,21,16
1684,rate,16
1685,5b,16
1686,signal,16
1687,bruno,16
1688,putting,16
1689,marks,16
1690,artificial,16
1691,analysts,16
1692,turn,16
1693,instruments,16
1694,batch,16
1695,outer,16
1696,vows,16
1697,risks,16
1698,crisis,16
1699,orbiting,16
1700,trade,16
1701,ruag,16
1702,150,16
1703,annual,16
1704,adviser,16
1705,senator,16
1706,place,16
1707,m,16
1708,commercialization,16
1709,carry,16
1710,airborne,16
1711,marshall,16
1712,his,16
1713,shanahan,16
1714,65th,16
1715,shelton,16
1716,npoess,16
1717,gmes,16
1718,jump,15
1719,chandrayaan,15
1720,machines,15
1721,osiris,15
1722,rex,15
1723,code,15
1724,frontiers,15
1725,sues,15
1726,mynaric,15
1727,2025,15
1728,gains,15
1729,nanoavionics,15
1730,mpower,15
1731,officially,15
1732,kleos,15
1733,capstone,15
1734,processing,15
1735,fiscal,15
1736,fresh,15
1737,motor,15
1738,sights,15
1739,trip,15
1740,halt,15
1741,east,15
1742,including,15
1743,atomics,15
1744,hybrid,15
1745,telescopes,15
1746,purchases,15
1747,used,15
1748,resigns,15
1749,serve,15
1750,zealand,15
1751,road,15
1752,spend,15
1753,environment,15
1754,logistics,15
1755,helps,15
1756,infrared,15
1757,cooperate,15
1758,suspends,15
1759,shortfall,15
1760,dots,15
1761,operate,15
1762,contact,15
1763,candidate,15
1764,newly,15
1765,chain,15
1766,repair,15
1767,avionics,15
1768,adding,15
1769,where,15
1770,caused,15
1771,rides,15
1772,sstl,15
1773,ice,15
1774,martian,15
1775,competitors,15
1776,creating,15
1777,uncertain,15
1778,urged,15
1779,kymeta,15
1780,spaceports,15
1781,busy,15
1782,minister,15
1783,anniversary,15
1784,ruling,15
1785,education,15
1786,february,15
1787,facebook,15
1788,defend,15
1789,reused,15
1790,sen,15
1791,jason,15
1792,sun,15
1793,save,15
1794,wall,15
1795,leosat,15
1796,wrc,15
1797,agenda,15
1798,newest,15
1799,mikulski,15
1800,skybox,15
1801,atv,15
1802,satmex,15
1803,they,14
1804,lightspeed,14
1805,users,14
1806,wide,14
1807,sells,14
1808,subsidiary,14
1809,hot,14
1810,benchmark,14
1811,union,14
1812,spacemobile,14
1813,manufacturer,14
1814,components,14
1815,non,14
1816,charge,14
1817,provisions,14
1818,spacesuit,14
1819,setback,14
1820,play,14
